Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Region,Occupancy Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge Off Amount,Original Appraisal Amount,Appraisal Value,Appraisal Date,FICO,Total Loan To Value,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date
East West Bank,EWB-1000436,Lot Loan,GNMA,Borrower 436,"6486 Main St, Unit 37",Commercial & Multi-Family (5+ Units),CS1,NJ,South,1,TRNS,Richard Davis,2023-05-19,2053-05-11,2026-04-20,2453,Current,0,1124566,0,1439349,1574500,2023-05-04,657,71.42,2026-01-01,4605,412,DDA-68886,19863,2026-02-24,2026-03-20
East West Bank,EWB-1000437,Equity,PRIV,Borrower 437,"2593 Main St, Unit 40",Commercial & Multi-Family (5+ Units),SP1,WA,North,3,TRNS,Lisa Williams,2023-06-10,2053-06-02,2026-04-20,1736,Current,0,393544,0,544030,531244,2023-05-26,792,74.08,2025-11-29,2314,304,DDA-68621,39273,2026-03-06,2026-03-16
East West Bank,EWB-1000438,Equity,GNMA,Borrower 438,"4862 Main St, Unit 39",Commercial & Multi-Family (5+ Units),SP1,FL,West,3,SII,John Smith,2022-03-05,2052-02-26,2026-04-20,3892,Current,0,612621,0,1026906,1051885,2022-02-18,601,58.24,2025-11-10,2216,911,DDA-88532,39520,2026-03-12,2026-03-17
East West Bank,EWB-1000439,Lot Loan,PRIV,Borrower 439,"9961 Main St, Unit 23",Commercial & Multi-Family (5+ Units),LC1,GA,East,3,DIS,Richard Davis,2022-06-05,2052-05-28,2026-04-20,3031,Current,0,813201,0,1405564,1751483,2022-05-21,729,46.43,2025-11-24,1266,1000,DDA-20652,15907,2026-03-09,2026-03-17
East West Bank,EWB-1000440,ARM,PRIV,Borrower 440,"888 Main St, Unit 8",Residential Property (1-4 Units),SP1,VA,South,4,LOSS,Charles Wilson,2023-07-23,2053-07-15,2026-04-20,4571,Current,0,580480,0,1046209,1232166,2023-07-08,718,47.11,2025-12-09,2279,606,DDA-35577,18816,2026-02-19,2026-03-18
East West Bank,EWB-1000441,Lot Loan,GNMA,Borrower 441,"9695 Main St, Unit 29",Residential Property (1-4 Units),HE1,VA,North,2,LOSS,Lisa Williams,2022-09-21,2052-09-13,2026-04-20,4765,30-Day Delinquent,30,203508,0,338014,369584,2022-09-06,802,55.06,2025-12-06,3315,170,DDA-30718,36525,2026-02-28,2026-03-21
East West Bank,EWB-1000442,Conventional,PRIV,Borrower 442,"5544 Main St, Unit 46",Residential Property (1-4 Units),SP1,GA,East,2,REO,James Miller,2023-03-20,2053-03-12,2026-04-20,1619,30-Day Delinquent,30,670964,0,963738,1008726,2023-03-05,641,66.52,2025-12-15,3278,852,DDA-72898,5511,2026-03-02,2026-03-16
East West Bank,EWB-1000443,Construction,GNMA,Borrower 443,"5323 Main St, Unit 11",Commercial & Multi-Family (5+ Units),HE1,VA,North,2,SII,Daniel Martin,2023-11-05,2053-10-28,2026-04-20,2317,90-Day Delinquent,120,753232,1018,973651,1051536,2023-10-21,767,71.63,2025-11-30,4184,934,DDA-33712,24253,2026-03-08,2026-03-18
East West Bank,EWB-1000444,Foreign National,PRIV,Borrower 444,"3993 Main St, Unit 36",Residential Property (1-4 Units),HE1,VA,South,3,BK,Patricia Hernandez,2023-03-17,2053-03-09,2026-04-20,1392,90-Day Delinquent,90,212098,4059,345716,444393,2023-03-02,673,47.73,2025-11-28,2506,322,DDA-16851,44348,2026-03-02,2026-03-17
East West Bank,EWB-1000445,Equity,PRIV,Borrower 445,"9285 Main St, Unit 49",Commercial & Multi-Family (5+ Units),LC1,FL,North,2,DIS,David Rodriguez,2023-04-08,2053-03-31,2026-04-20,3652,90-Day Delinquent,90,521716,2059,1040695,1222999,2023-03-24,639,42.66,2025-12-10,1031,281,DDA-33192,2017,2026-03-04,2026-03-18
East West Bank,EWB-1000446,Lot Loan,FNMA,Borrower 446,"9274 Main St, Unit 3",Residential Property (1-4 Units),CR1,NY,West,3,PIF,Emily Watson,2022-05-18,2052-05-10,2026-04-20,3475,30-Day Delinquent,30,650346,0,1226208,1158009,2022-05-03,819,56.16,2025-12-24,1526,821,DDA-26430,40261,2026-03-13,2026-03-20
East West Bank,EWB-1000447,Conventional,FHLMC,Borrower 447,"4076 Main St, Unit 16",Commercial & Multi-Family (5+ Units),HE1,VA,South,1,BK,Sarah Jenkins,2022-11-21,2052-11-13,2026-04-20,3087,Current,0,697447,0,1308521,1503413,2022-11-06,751,46.39,2025-12-25,2481,87,DDA-42466,17379,2026-02-19,2026-03-20
East West Bank,EWB-1000448,ARM,FNMA,Borrower 448,"325 Main St, Unit 15",Commercial & Multi-Family (5+ Units),CR1,MA,South,2,LOSS,Linda Garcia,2022-05-10,2052-05-02,2026-04-20,3837,Current,0,560721,0,891426,1155552,2022-04-25,651,48.52,2025-12-30,2709,574,DDA-48641,44122,2026-03-11,2026-03-19
East West Bank,EWB-1000449,Construction,PRIV,Borrower 449,"4423 Main St, Unit 27",Commercial & Multi-Family (5+ Units),CE1,MA,North,4,FC,Linda Garcia,2023-10-20,2053-10-12,2026-04-20,2133,30-Day Delinquent,30,1281923,0,1373975,1548453,2023-10-05,750,82.79,2025-11-04,3444,932,DDA-46319,24544,2026-03-05,2026-03-17
East West Bank,EWB-1000450,Foreign National,FHLMC,Borrower 450,"3220 Main St, Unit 2",Residential Property (1-4 Units),SP1,IL,North,2,SII,Nancy Jackson,2023-01-03,2052-12-26,2026-04-20,1922,60-Day Delinquent,60,235050,0,328954,417458,2022-12-19,725,56.31,2025-11-28,1285,481,DDA-56314,18954,2026-02-22,2026-03-20
East West Bank,EWB-1000451,Equity,FNMA,Borrower 451,"3405 Main St, Unit 42",Residential Property (1-4 Units),CE1,GA,West,3,LEG,Susan Martinez,2022-01-04,2051-12-28,2026-04-20,2855,Current,0,220315,0,434260,474141,2021-12-20,820,46.47,2025-11-29,3263,750,DDA-39965,9090,2026-03-17,2026-03-21
East West Bank,EWB-1000452,ARM,EWB-INT,Borrower 452,"6540 Main St, Unit 31",Residential Property (1-4 Units),LC1,IL,West,4,TRNS,Sarah Jenkins,2022-10-03,2052-09-25,2026-04-20,3548,90-Day Delinquent,150,151066,4367,282717,344465,2022-09-18,752,43.86,2025-11-14,4386,639,DDA-28960,49788,2026-02-25,2026-03-16
East West Bank,EWB-1000453,Specialty,EWB-INT,Borrower 453,"5805 Main St, Unit 45",Residential Property (1-4 Units),SP1,VA,North,1,BK,Barbara Taylor,2022-07-28,2052-07-20,2026-04-20,4216,Current,0,477517,0,529862,483937,2022-07-13,666,98.67,2025-11-19,4904,147,DDA-57043,15307,2026-03-14,2026-03-17
East West Bank,EWB-1000454,Conventional,PRIV,Borrower 454,"826 Main St, Unit 26",Residential Property (1-4 Units),CE1,CA,West,1,SII,Jessica Taylor,2023-07-16,2053-07-08,2026-04-20,4436,90-Day Delinquent,90,1219130,1886,1298734,1291041,2023-07-01,785,94.43,2025-12-14,3784,307,DDA-93078,17994,2026-02-27,2026-03-17
East West Bank,EWB-1000455,Equity,PRIV,Borrower 455,"1161 Main St, Unit 21",Commercial & Multi-Family (5+ Units),CR1,MA,North,1,SII,Thomas Thompson,2023-02-21,2053-02-13,2026-04-20,2228,Current,0,250296,0,480388,523393,2023-02-06,673,47.82,2025-11-08,2715,432,DDA-17760,18331,2026-03-02,2026-03-18
East West Bank,EWB-1000456,Specialty,EWB-INT,Borrower 456,"9384 Main St, Unit 16",Residential Property (1-4 Units),HE1,VA,West,1,BK,Lisa Williams,2023-09-07,2053-08-30,2026-04-20,1011,Current,0,506105,0,618276,590657,2023-08-23,654,85.69,2026-01-01,1403,417,DDA-82338,46278,2026-03-17,2026-03-20
East West Bank,EWB-1000457,Equity,EWB-INT,Borrower 457,"2932 Main St, Unit 24",Commercial & Multi-Family (5+ Units),CE1,MA,East,2,BK,Daniel Martin,2023-03-01,2053-02-21,2026-04-20,4534,Current,0,472491,0,661411,748259,2023-02-14,795,63.15,2025-12-13,3272,490,DDA-59025,35347,2026-03-05,2026-03-18
East West Bank,EWB-1000458,Lot Loan,FHLMC,Borrower 458,"9547 Main St, Unit 46",Commercial & Multi-Family (5+ Units),HE1,CA,South,3,PIF,Daniel Martin,2023-11-02,2053-10-25,2026-04-20,4694,60-Day Delinquent,60,969703,0,1034377,982172,2023-10-18,651,98.73,2025-12-13,1099,0,DDA-36953,23630,2026-02-23,2026-03-16
East West Bank,EWB-1000459,Equity,FHLMC,Borrower 459,"5653 Main St, Unit 9",Commercial & Multi-Family (5+ Units),CR1,VA,West,3,BK,Lisa Williams,2022-08-26,2052-08-18,2026-04-20,1718,Current,0,824817,0,1092654,1051018,2022-08-11,713,78.48,2025-12-08,3831,143,DDA-68574,8216,2026-03-06,2026-03-17
East West Bank,EWB-1000460,Lot Loan,FHLMC,Borrower 460,"4831 Main St, Unit 22",Residential Property (1-4 Units),CE1,NY,North,4,SII,Karen Anderson,2022-09-28,2052-09-20,2026-04-20,2194,Current,0,730506,0,1167433,1261309,2022-09-13,814,57.92,2025-12-10,3325,900,DDA-16938,11871,2026-03-13,2026-03-20
East West Bank,EWB-1000461,Lot Loan,FHLMC,Borrower 461,"7041 Main St, Unit 28",Commercial & Multi-Family (5+ Units),CS1,NJ,West,3,LEG,Margaret Harris,2023-04-17,2053-04-09,2026-04-20,3444,90-Day Delinquent,90,496705,3307,813937,1005835,2023-04-02,639,49.38,2025-11-24,4753,794,DDA-57888,23796,2026-03-03,2026-03-16
East West Bank,EWB-1000462,Foreign National,FHLMC,Borrower 462,"9191 Main St, Unit 22",Residential Property (1-4 Units),CR1,FL,West,4,LOSS,Jessica Taylor,2023-10-07,2053-09-29,2026-04-20,2509,Current,0,767569,0,994193,976218,2023-09-22,680,78.63,2025-11-25,1867,182,DDA-88064,9627,2026-03-18,2026-03-21
East West Bank,EWB-1000463,Equity,FNMA,Borrower 463,"8131 Main St, Unit 11",Commercial & Multi-Family (5+ Units),LC1,TX,West,2,PIF,Jessica Taylor,2023-04-25,2053-04-17,2026-04-20,3365,90-Day Delinquent,90,642966,512,812143,759528,2023-04-10,766,84.65,2025-11-21,2050,379,DDA-43691,27850,2026-03-06,2026-03-17
East West Bank,EWB-1000464,Lot Loan,GNMA,Borrower 464,"5362 Main St, Unit 49",Residential Property (1-4 Units),CR1,CA,North,3,LOSS,Lisa Williams,2022-06-24,2052-06-16,2026-04-20,1769,Current,0,914718,0,1400155,1650274,2022-06-09,597,55.43,2025-11-24,1788,817,DDA-28783,11134,2026-03-16,2026-03-19
East West Bank,EWB-1000465,Specialty,FNMA,Borrower 465,"7078 Main St, Unit 39",Residential Property (1-4 Units),LC1,IL,North,3,M,Nancy Jackson,2022-05-22,2052-05-14,2026-04-20,2180,90-Day Delinquent,90,852685,3971,921253,1174683,2022-05-07,714,72.59,2025-12-25,4763,749,DDA-53932,23323,2026-03-07,2026-03-16
East West Bank,EWB-1000466,Conventional,FNMA,Borrower 466,"9786 Main St, Unit 9",Residential Property (1-4 Units),HE1,IL,North,2,DIS,Margaret Harris,2023-03-05,2053-02-25,2026-04-20,2210,Current,0,656882,0,956388,969403,2023-02-18,739,67.76,2025-12-05,2393,824,DDA-41749,28625,2026-03-16,2026-03-19
East West Bank,EWB-1000467,Conventional,FHLMC,Borrower 467,"7762 Main St, Unit 42",Commercial & Multi-Family (5+ Units),LC1,IL,North,3,FC,Christopher Thomas,2022-06-20,2052-06-12,2026-04-20,3791,90-Day Delinquent,90,285868,2448,533152,584740,2022-06-05,649,48.89,2025-11-09,1447,385,DDA-24695,49439,2026-03-14,2026-03-20
East West Bank,EWB-1000468,ARM,EWB-INT,Borrower 468,"2050 Main St, Unit 3",Residential Property (1-4 Units),HE1,GA,East,2,LEG,Emily Watson,2022-05-13,2052-05-05,2026-04-20,1527,60-Day Delinquent,60,1061674,0,1195482,1120033,2022-04-28,762,94.79,2025-11-19,4067,236,DDA-20349,24391,2026-02-25,2026-03-16
East West Bank,EWB-1000469,Lot Loan,EWB-INT,Borrower 469,"5976 Main St, Unit 36",Commercial & Multi-Family (5+ Units),CE1,WA,North,1,REO,James Miller,2022-01-31,2052-01-24,2026-04-20,4198,30-Day Delinquent,30,1002722,0,1345889,1654268,2022-01-16,657,60.61,2025-12-30,1129,955,DDA-24467,48451,2026-02-22,2026-03-20
East West Bank,EWB-1000470,Foreign National,EWB-INT,Borrower 470,"8405 Main St, Unit 41",Residential Property (1-4 Units),LC1,CA,South,1,REO,Robert Brown,2022-04-16,2052-04-08,2026-04-20,3759,30-Day Delinquent,30,1351387,0,1445302,1701354,2022-04-01,736,79.43,2025-12-17,4177,747,DDA-90386,38880,2026-03-15,2026-03-21
East West Bank,EWB-1000471,ARM,EWB-INT,Borrower 471,"5899 Main St, Unit 3",Residential Property (1-4 Units),LC1,TX,West,1,FC,Daniel Martin,2022-05-10,2052-05-02,2026-04-20,4644,90-Day Delinquent,120,135625,829,169816,168861,2022-04-25,631,80.32,2025-11-22,1844,982,DDA-40611,38896,2026-03-04,2026-03-17
East West Bank,EWB-1000472,Lot Loan,EWB-INT,Borrower 472,"240 Main St, Unit 48",Commercial & Multi-Family (5+ Units),HE1,NJ,South,2,REO,Margaret Harris,2023-05-08,2053-04-30,2026-04-20,1952,Current,0,370444,0,464997,577251,2023-04-23,812,64.17,2026-01-01,2132,783,DDA-88323,28827,2026-02-19,2026-03-20
East West Bank,EWB-1000473,Specialty,GNMA,Borrower 473,"4160 Main St, Unit 12",Residential Property (1-4 Units),LC1,MA,West,4,REO,Daniel Martin,2022-04-09,2052-04-01,2026-04-20,2806,90-Day Delinquent,90,1148993,3833,1405100,1794839,2022-03-25,645,64.02,2025-12-09,3104,999,DDA-15263,11749,2026-03-06,2026-03-21
East West Bank,EWB-1000474,Foreign National,EWB-INT,Borrower 474,"9846 Main St, Unit 37",Residential Property (1-4 Units),CR1,GA,South,1,M,Patricia Hernandez,2023-06-15,2053-06-07,2026-04-20,4496,Current,0,755480,0,1350454,1471413,2023-05-31,753,51.34,2025-12-19,4929,677,DDA-61310,35475,2026-03-07,2026-03-21
East West Bank,EWB-1000475,Conventional,FHLMC,Borrower 475,"2079 Main St, Unit 45",Residential Property (1-4 Units),HE1,TX,West,1,LEG,Barbara Taylor,2022-11-21,2052-11-13,2026-04-20,1726,Current,0,859503,0,931452,995388,2022-11-06,604,86.35,2025-12-10,1166,139,DDA-74450,43288,2026-03-12,2026-03-21
East West Bank,EWB-1000476,Conventional,FHLMC,Borrower 476,"4121 Main St, Unit 23",Commercial & Multi-Family (5+ Units),CR1,MA,North,4,SII,Michael Chen,2022-05-12,2052-05-04,2026-04-20,2487,Current,0,237500,0,283554,312395,2022-04-27,650,76.03,2025-12-18,4596,80,DDA-74903,16099,2026-03-01,2026-03-17
East West Bank,EWB-1000477,Lot Loan,EWB-INT,Borrower 477,"7607 Main St, Unit 28",Commercial & Multi-Family (5+ Units),LC1,NY,North,2,REO,Thomas Thompson,2022-07-31,2052-07-23,2026-04-20,2021,Current,0,556826,0,601282,659955,2022-07-16,752,84.37,2025-12-21,4307,394,DDA-80068,22075,2026-03-01,2026-03-17
East West Bank,EWB-1000478,ARM,PRIV,Borrower 478,"3805 Main St, Unit 3",Residential Property (1-4 Units),HE1,GA,West,2,REO,Linda Garcia,2022-08-10,2052-08-02,2026-04-20,2001,Current,0,812881,0,1258252,1292831,2022-07-26,754,62.88,2025-11-16,4062,144,DDA-20763,26724,2026-03-03,2026-03-20
East West Bank,EWB-1000479,Conventional,FHLMC,Borrower 479,"2894 Main St, Unit 33",Residential Property (1-4 Units),CR1,IL,West,3,M,Daniel Martin,2022-03-01,2052-02-22,2026-04-20,4355,30-Day Delinquent,30,1107425,0,1372108,1338412,2022-02-14,819,82.74,2025-11-22,2848,766,DDA-21684,6012,2026-02-22,2026-03-21
East West Bank,EWB-1000480,Equity,FHLMC,Borrower 480,"2770 Main St, Unit 43",Residential Property (1-4 Units),CR1,VA,West,3,BK,Matthew Moore,2023-02-10,2053-02-02,2026-04-20,2132,Current,0,239280,0,370178,388094,2023-01-26,809,61.66,2025-12-27,2356,737,DDA-60194,27902,2026-02-25,2026-03-20
East West Bank,EWB-1000481,Specialty,GNMA,Borrower 481,"6747 Main St, Unit 25",Commercial & Multi-Family (5+ Units),HE1,FL,South,2,FC,Sarah Jenkins,2022-10-14,2052-10-06,2026-04-20,4344,Current,0,439911,0,738365,811032,2022-09-29,791,54.24,2025-12-10,1098,537,DDA-85103,36794,2026-02-27,2026-03-20
East West Bank,EWB-1000482,Conventional,PRIV,Borrower 482,"4396 Main St, Unit 39",Residential Property (1-4 Units),CR1,MA,East,1,DIS,Lisa Williams,2022-08-24,2052-08-16,2026-04-20,4433,30-Day Delinquent,30,877320,0,1455585,1612835,2022-08-09,707,54.4,2025-11-26,4353,736,DDA-93659,36078,2026-02-22,2026-03-20
East West Bank,EWB-1000483,ARM,FNMA,Borrower 483,"2267 Main St, Unit 17",Residential Property (1-4 Units),CS1,MA,North,1,FC,Robert Brown,2022-05-22,2052-05-14,2026-04-20,3541,Current,0,438532,0,712288,696165,2022-05-07,606,62.99,2025-12-15,4943,515,DDA-49067,31274,2026-02-19,2026-03-20
East West Bank,EWB-1000484,Equity,EWB-INT,Borrower 484,"7709 Main St, Unit 17",Residential Property (1-4 Units),LC1,CA,South,1,LOSS,Richard Davis,2022-03-04,2052-02-25,2026-04-20,3580,Current,0,244108,0,450709,432499,2022-02-17,622,56.44,2025-12-24,1562,54,DDA-83747,35911,2026-02-24,2026-03-21
East West Bank,EWB-1000485,Equity,EWB-INT,Borrower 485,"9037 Main St, Unit 33",Commercial & Multi-Family (5+ Units),CS1,NY,North,2,LOSS,Margaret Harris,2023-12-02,2053-11-24,2026-04-20,2817,60-Day Delinquent,60,905189,0,1384816,1768734,2023-11-17,614,51.18,2025-11-10,2633,239,DDA-31533,25463,2026-03-04,2026-03-16
East West Bank,EWB-1000486,Conventional,FHLMC,Borrower 486,"9944 Main St, Unit 19",Commercial & Multi-Family (5+ Units),SP1,NJ,South,3,FC,Jessica Taylor,2023-09-02,2053-08-25,2026-04-20,1629,Current,0,778566,0,1473062,1872742,2023-08-18,764,41.57,2025-11-19,4995,260,DDA-32983,39376,2026-03-13,2026-03-17
East West Bank,EWB-1000487,Equity,EWB-INT,Borrower 487,"1389 Main St, Unit 6",Residential Property (1-4 Units),SP1,NJ,East,4,FC,David Rodriguez,2022-05-10,2052-05-02,2026-04-20,1383,90-Day Delinquent,120,1026748,3399,1277199,1362523,2022-04-25,597,75.36,2025-12-22,4268,961,DDA-21344,26744,2026-02-28,2026-03-18
East West Bank,EWB-1000488,Equity,GNMA,Borrower 488,"9966 Main St, Unit 1",Commercial & Multi-Family (5+ Units),CE1,NJ,South,1,PIF,Margaret Harris,2022-04-16,2052-04-08,2026-04-20,2591,Current,0,964743,0,1057425,1181268,2022-04-01,601,81.67,2025-12-07,4376,495,DDA-94829,13542,2026-02-21,2026-03-16
East West Bank,EWB-1000489,Equity,PRIV,Borrower 489,"375 Main St, Unit 14",Residential Property (1-4 Units),LC1,MA,West,3,M,Margaret Harris,2022-10-06,2052-09-28,2026-04-20,3728,Current,0,556926,0,802465,937612,2022-09-21,621,59.4,2025-12-09,1733,649,DDA-13467,19563,2026-03-12,2026-03-18
East West Bank,EWB-1000490,Equity,EWB-INT,Borrower 490,"6729 Main St, Unit 7",Commercial & Multi-Family (5+ Units),CR1,CA,West,3,DIS,Nancy Jackson,2022-01-12,2052-01-05,2026-04-20,4687,90-Day Delinquent,90,699004,4252,1308151,1273503,2021-12-28,796,54.89,2025-12-02,3024,122,DDA-31904,25285,2026-03-09,2026-03-18
East West Bank,EWB-1000491,Foreign National,EWB-INT,Borrower 491,"762 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CS1,FL,South,2,M,Lisa Williams,2022-11-25,2052-11-17,2026-04-20,1981,Current,0,865800,0,1406182,1623170,2022-11-10,640,53.34,2025-11-02,3099,666,DDA-22863,37356,2026-03-03,2026-03-18
East West Bank,EWB-1000492,Construction,GNMA,Borrower 492,"8222 Main St, Unit 19",Commercial & Multi-Family (5+ Units),LC1,VA,South,3,BK,Margaret Harris,2023-06-14,2053-06-06,2026-04-20,1654,Current,0,1126642,0,1491398,1918288,2023-05-30,791,58.73,2025-12-17,2976,190,DDA-36962,35538,2026-03-11,2026-03-19
East West Bank,EWB-1000493,Lot Loan,EWB-INT,Borrower 493,"2617 Main St, Unit 6",Commercial & Multi-Family (5+ Units),CS1,MA,East,1,REO,Jessica Taylor,2022-07-10,2052-07-02,2026-04-20,2990,30-Day Delinquent,30,484120,0,920044,1037982,2022-06-25,691,46.64,2025-12-25,3335,631,DDA-68539,6530,2026-03-13,2026-03-20
East West Bank,EWB-1000494,Specialty,EWB-INT,Borrower 494,"2848 Main St, Unit 10",Commercial & Multi-Family (5+ Units),CE1,CA,East,2,SII,Richard Davis,2022-06-19,2052-06-11,2026-04-20,4438,Current,0,525311,0,628446,799652,2022-06-04,815,65.69,2025-11-18,3095,430,DDA-75598,16611,2026-02-24,2026-03-17
East West Bank,EWB-1000495,Equity,EWB-INT,Borrower 495,"9629 Main St, Unit 40",Residential Property (1-4 Units),CS1,NY,South,3,M,Sarah Jenkins,2023-12-09,2053-12-01,2026-04-20,1638,Current,0,764171,0,1238562,1578436,2023-11-24,610,48.41,2025-12-24,4961,948,DDA-11320,2458,2026-03-12,2026-03-19
East West Bank,EWB-1000496,Foreign National,PRIV,Borrower 496,"8810 Main St, Unit 40",Commercial & Multi-Family (5+ Units),LC1,VA,South,3,SII,Donald Martinez,2023-10-02,2053-09-24,2026-04-20,1608,30-Day Delinquent,30,531463,0,622327,755881,2023-09-17,683,70.31,2025-11-21,4046,184,DDA-69926,24239,2026-02-26,2026-03-17
East West Bank,EWB-1000497,Foreign National,FHLMC,Borrower 497,"1600 Main St, Unit 30",Residential Property (1-4 Units),CE1,GA,East,2,LOSS,Sandra Garcia,2023-09-18,2053-09-10,2026-04-20,1385,Current,0,119512,0,184911,172761,2023-09-03,580,69.18,2025-12-14,3182,608,DDA-50436,28874,2026-02-20,2026-03-16
East West Bank,EWB-1000498,Construction,GNMA,Borrower 498,"4248 Main St, Unit 37",Residential Property (1-4 Units),LC1,VA,North,4,DIS,Donald Martinez,2023-04-28,2053-04-20,2026-04-20,1399,90-Day Delinquent,150,751153,1404,880399,858583,2023-04-13,730,87.49,2025-12-03,1896,995,DDA-55301,31929,2026-03-19,2026-03-21
East West Bank,EWB-1000499,Construction,GNMA,Borrower 499,"8985 Main St, Unit 14",Commercial & Multi-Family (5+ Units),LC1,IL,East,2,M,Susan Martinez,2023-07-25,2053-07-17,2026-04-20,3703,90-Day Delinquent,90,442094,223,758746,851769,2023-07-10,664,51.9,2025-12-17,2926,303,DDA-92210,7097,2026-03-07,2026-03-18
East West Bank,EWB-1000500,Construction,FNMA,Borrower 500,"3858 Main St, Unit 37",Commercial & Multi-Family (5+ Units),CE1,CA,East,2,FC,John Smith,2022-01-08,2052-01-01,2026-04-20,2990,90-Day Delinquent,120,442620,287,466915,556602,2021-12-24,800,79.52,2025-11-14,1390,100,DDA-19711,46939,2026-03-02,2026-03-18
East West Bank,EWB-1000501,Specialty,EWB-INT,Borrower 501,"9485 Main St, Unit 24",Commercial & Multi-Family (5+ Units),CS1,CA,West,1,LEG,Charles Wilson,2023-02-13,2053-02-05,2026-04-20,3019,30-Day Delinquent,30,712732,0,761213,701926,2023-01-29,664,101.54,2025-12-07,3882,258,DDA-24538,5052,2026-02-26,2026-03-21
East West Bank,EWB-1000502,ARM,EWB-INT,Borrower 502,"4217 Main St, Unit 35",Commercial & Multi-Family (5+ Units),CE1,IL,South,3,BK,Daniel Martin,2022-01-20,2052-01-13,2026-04-20,4771,Current,0,186597,0,197057,228670,2022-01-05,623,81.6,2025-11-13,1702,5,DDA-56892,38117,2026-03-07,2026-03-19
East West Bank,EWB-1000503,Foreign National,GNMA,Borrower 503,"4680 Main St, Unit 39",Commercial & Multi-Family (5+ Units),HE1,WA,East,1,M,Matthew Moore,2023-11-16,2053-11-08,2026-04-20,1679,Current,0,214941,0,404726,489019,2023-11-01,714,43.95,2025-11-26,3566,785,DDA-82880,15146,2026-03-19,2026-03-18
East West Bank,EWB-1000504,Construction,FHLMC,Borrower 504,"6535 Main St, Unit 15",Commercial & Multi-Family (5+ Units),CE1,CA,South,3,PIF,Donald Martinez,2022-07-23,2052-07-15,2026-04-20,4757,30-Day Delinquent,30,814879,0,858754,1097757,2022-07-08,680,74.23,2025-12-29,4084,573,DDA-47791,17013,2026-03-10,2026-03-16
East West Bank,EWB-1000505,Conventional,EWB-INT,Borrower 505,"5940 Main St, Unit 15",Residential Property (1-4 Units),HE1,WA,South,3,TRNS,Donald Martinez,2022-10-15,2052-10-07,2026-04-20,2029,Current,0,263525,0,294931,356970,2022-09-30,745,73.82,2025-12-13,2144,860,DDA-31242,2435,2026-03-08,2026-03-20
East West Bank,EWB-1000506,Conventional,FNMA,Borrower 506,"7756 Main St, Unit 10",Residential Property (1-4 Units),SP1,GA,North,2,M,Karen Anderson,2022-03-24,2052-03-16,2026-04-20,3818,30-Day Delinquent,30,374753,0,551921,557548,2022-03-09,648,67.21,2025-12-23,2913,318,DDA-91897,41850,2026-03-03,2026-03-18
East West Bank,EWB-1000507,Specialty,PRIV,Borrower 507,"4830 Main St, Unit 42",Residential Property (1-4 Units),LC1,CA,East,4,BK,Barbara Taylor,2023-06-26,2053-06-18,2026-04-20,4241,90-Day Delinquent,90,1073361,1801,1221812,1149895,2023-06-11,687,93.34,2025-11-10,3572,292,DDA-74975,5707,2026-03-07,2026-03-18
East West Bank,EWB-1000508,Lot Loan,EWB-INT,Borrower 508,"7440 Main St, Unit 43",Commercial & Multi-Family (5+ Units),CE1,GA,West,3,REO,Charles Wilson,2023-10-14,2053-10-06,2026-04-20,4762,Current,0,481904,0,777433,936769,2023-09-29,610,51.44,2025-11-16,3487,772,DDA-27341,27062,2026-03-18,2026-03-16
East West Bank,EWB-1000509,Conventional,GNMA,Borrower 509,"8300 Main St, Unit 1",Commercial & Multi-Family (5+ Units),CS1,IL,West,3,DIS,Christopher Thomas,2023-11-08,2053-10-31,2026-04-20,2994,60-Day Delinquent,60,1111896,0,1293490,1448890,2023-10-24,784,76.74,2025-11-06,3765,470,DDA-79644,21997,2026-03-19,2026-03-18
East West Bank,EWB-1000510,Equity,EWB-INT,Borrower 510,"436 Main St, Unit 17",Commercial & Multi-Family (5+ Units),CS1,TX,North,1,REO,Lisa Williams,2022-12-01,2052-11-23,2026-04-20,4432,Current,0,317846,0,528387,573321,2022-11-16,760,55.44,2025-11-22,4608,815,DDA-65978,9118,2026-03-04,2026-03-19
East West Bank,EWB-1000511,ARM,GNMA,Borrower 511,"9906 Main St, Unit 27",Commercial & Multi-Family (5+ Units),CS1,NJ,East,2,PIF,Donald Martinez,2023-05-26,2053-05-18,2026-04-20,1441,30-Day Delinquent,30,729258,0,1146261,1232080,2023-05-11,716,59.19,2025-11-13,4936,716,DDA-23595,45932,2026-02-26,2026-03-16
East West Bank,EWB-1000512,Foreign National,GNMA,Borrower 512,"3363 Main St, Unit 21",Commercial & Multi-Family (5+ Units),SP1,IL,West,1,BK,Susan Martinez,2023-04-02,2053-03-25,2026-04-20,1406,60-Day Delinquent,60,290166,0,542417,512067,2023-03-18,769,56.67,2025-12-22,3799,894,DDA-77876,45563,2026-03-20,2026-03-18
