Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Occup Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge off Amount,Orig Appraisal Amount,Orig Appraisal Date,Appraisal Value,Appraisal Date,FICO,Total LTV,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date,Resp 5/9
East West Bank,EWB-1000487,Construction,GNMA,Borrower 487,"4893 Main St, Unit 42",Commercial & Multi-Family (5+ Units),CS1,NJ,1,FC,Emily Watson,2022-05-03,2052-04-25,2026-04-21,4166,30-Day Delinquent,30,518330,0,643158,2022-04-03,692420,2024-08-18,680,74.86,2026-03-05,2474,274,SAV-59362,35590,2026-03-13,2026-03-17,Y
East West Bank,EWB-1000488,ARM,PRIV,Borrower 488,"4528 Main St, Unit 23",Residential Property (1-4 Units),SP1,GA,1,LEG,Christopher Thomas,2022-08-22,2052-08-14,2026-04-21,2154,30-Day Delinquent,30,299999,0,584995,2022-07-23,727609,2025-07-15,703,41.23,2026-01-26,2018,117,SAV-53224,44344,2026-03-12,2026-03-22,NA
East West Bank,EWB-1000489,ARM,FHLMC,Borrower 489,"7425 Main St, Unit 12",Commercial & Multi-Family (5+ Units),SP1,MA,4,LEG,Emily Watson,2023-01-22,2053-01-14,2026-04-21,2911,60-Day Delinquent,60,753988,0,993441,2022-12-23,952699,2025-12-20,695,79.14,2026-02-17,1792,363,SAV-90333,45610,2026-03-08,2026-03-19,Y
East West Bank,EWB-1000490,Foreign National,FNMA,Borrower 490,"6478 Main St, Unit 32",Commercial & Multi-Family (5+ Units),CS1,NY,3,SII,Joseph White,2022-07-26,2052-07-18,2026-04-21,2572,Current,0,1131588,0,1297647,2022-06-26,1471231,2024-10-26,586,76.91,2026-03-09,1598,201,SAV-66340,45590,2026-03-22,2026-03-21,Y
East West Bank,EWB-1000491,Construction,EWB-INT,Borrower 491,"9778 Main St, Unit 20",Residential Property (1-4 Units),HE1,NY,1,FC,David Rodriguez,2022-03-17,2052-03-09,2026-04-21,4198,Current,0,702844,0,964037,2022-02-15,1252224,2024-09-13,808,56.13,2026-02-23,2617,124,SAV-70156,11225,2026-03-17,2026-03-18,N
East West Bank,EWB-1000492,Conventional,PRIV,Borrower 492,"243 Main St, Unit 28",Residential Property (1-4 Units),HE1,NJ,4,BK,Susan Martinez,2023-06-12,2053-06-04,2026-04-21,2617,Current,0,864915,0,1391597,2023-05-13,1734633,2025-08-22,641,49.86,2026-02-08,1926,6,SAV-81793,32916,2026-03-22,2026-03-17,NA
East West Bank,EWB-1000493,ARM,FHLMC,Borrower 493,"5437 Main St, Unit 30",Commercial & Multi-Family (5+ Units),CS1,CA,4,FC,Patricia Hernandez,2022-03-29,2052-03-21,2026-04-21,1877,Current,0,456141,0,791269,2022-02-27,868134,2024-07-10,728,52.54,2026-01-21,3041,394,SAV-67127,790,2026-03-11,2026-03-20,NA
East West Bank,EWB-1000494,Foreign National,PRIV,Borrower 494,"6754 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CS1,TX,4,BK,Nancy Jackson,2023-10-06,2053-09-28,2026-04-21,1909,60-Day Delinquent,60,671429,0,1188199,2023-09-06,1538356,2024-12-25,644,43.65,2026-02-14,1527,316,SAV-75949,28605,2026-03-16,2026-03-18,NA
East West Bank,EWB-1000495,Lot Loan,GNMA,Borrower 495,"3816 Main St, Unit 17",Residential Property (1-4 Units),HE1,CA,1,LEG,Susan Martinez,2023-09-27,2053-09-19,2026-04-21,2842,Current,0,977193,0,1386180,2023-08-28,1730479,2024-03-30,752,56.47,2026-02-04,2638,61,SAV-11890,38552,2026-03-13,2026-03-22,N
East West Bank,EWB-1000496,ARM,FNMA,Borrower 496,"6954 Main St, Unit 34",Commercial & Multi-Family (5+ Units),LC1,CA,2,M,Christopher Thomas,2023-07-06,2053-06-28,2026-04-21,2185,Current,0,962344,0,1121248,2023-06-06,1094978,2024-03-23,770,87.89,2026-03-08,2428,383,SAV-17345,40610,2026-03-17,2026-03-20,N
East West Bank,EWB-1000497,Specialty,FHLMC,Borrower 497,"1567 Main St, Unit 50",Residential Property (1-4 Units),HE1,IL,2,FC,James Miller,2023-12-09,2053-12-01,2026-04-21,3784,Current,0,803305,0,1490020,2023-11-09,1676335,2024-09-29,775,47.92,2026-02-16,3558,385,SAV-54784,39734,2026-03-18,2026-03-22,N
East West Bank,EWB-1000498,ARM,PRIV,Borrower 498,"7564 Main St, Unit 8",Commercial & Multi-Family (5+ Units),CS1,CA,3,LOSS,Emily Watson,2023-06-17,2053-06-09,2026-04-21,1217,90-Day Delinquent,90,1138238,1450,1498207,2023-05-18,1868744,2024-07-07,811,60.91,2026-02-06,1083,476,SAV-45833,15831,2026-03-12,2026-03-22,NA
East West Bank,EWB-1000499,Specialty,PRIV,Borrower 499,"3922 Main St, Unit 49",Residential Property (1-4 Units),CE1,NY,4,FC,Barbara Taylor,2023-07-02,2053-06-24,2026-04-21,2236,60-Day Delinquent,60,949558,0,1489100,2023-06-02,1408866,2024-12-12,621,67.4,2026-02-27,3687,106,SAV-78884,26602,2026-03-11,2026-03-21,Y
East West Bank,EWB-1000500,ARM,EWB-INT,Borrower 500,"3702 Main St, Unit 31",Residential Property (1-4 Units),CE1,IL,3,REO,Robert Brown,2022-07-13,2052-07-05,2026-04-21,3131,60-Day Delinquent,60,643260,0,1251928,2022-06-13,1395764,2025-08-13,596,46.09,2026-03-08,1206,356,SAV-54615,41628,2026-03-15,2026-03-17,NA
East West Bank,EWB-1000501,Construction,PRIV,Borrower 501,"2215 Main St, Unit 5",Residential Property (1-4 Units),CS1,IL,3,DIS,Lisa Williams,2022-05-29,2052-05-21,2026-04-21,3892,30-Day Delinquent,30,615830,0,778864,2022-04-29,905905,2025-10-14,639,67.98,2026-03-13,3400,166,SAV-94540,17893,2026-03-14,2026-03-21,N
East West Bank,EWB-1000502,Specialty,PRIV,Borrower 502,"7329 Main St, Unit 42",Residential Property (1-4 Units),LC1,TX,2,BK,Donald Martinez,2022-12-20,2052-12-12,2026-04-21,3369,Current,0,404817,0,454224,2022-11-20,476292,2026-02-11,821,84.99,2026-03-11,3137,336,SAV-29252,32863,2026-03-22,2026-03-19,N
East West Bank,EWB-1000503,Equity,FHLMC,Borrower 503,"6856 Main St, Unit 41",Residential Property (1-4 Units),HE1,TX,1,SII,Karen Anderson,2022-12-27,2052-12-19,2026-04-21,1062,Current,0,270010,0,371972,2022-11-27,342550,2025-05-13,782,78.82,2026-02-13,3970,288,SAV-89468,7377,2026-03-18,2026-03-18,NA
East West Bank,EWB-1000504,Conventional,FNMA,Borrower 504,"3528 Main St, Unit 49",Residential Property (1-4 Units),CS1,NY,1,DIS,David Rodriguez,2023-06-01,2053-05-24,2026-04-21,3152,Current,0,352678,0,658679,2023-05-02,597846,2025-08-05,658,58.99,2026-03-03,2650,49,SAV-44436,13469,2026-03-18,2026-03-22,NA
East West Bank,EWB-1000505,ARM,GNMA,Borrower 505,"6061 Main St, Unit 13",Residential Property (1-4 Units),CR1,WA,1,SII,James Miller,2023-08-21,2053-08-13,2026-04-21,4219,90-Day Delinquent,90,457126,3433,730780,2023-07-22,679357,2024-11-11,648,67.29,2026-02-27,3001,435,SAV-16019,38519,2026-03-17,2026-03-21,Y
East West Bank,EWB-1000506,ARM,PRIV,Borrower 506,"9232 Main St, Unit 2",Commercial & Multi-Family (5+ Units),CS1,VA,4,FC,Margaret Harris,2023-09-11,2053-09-03,2026-04-21,1802,30-Day Delinquent,30,142426,0,213936,2023-08-12,262393,2025-11-26,680,54.28,2026-02-07,3304,434,SAV-50130,18969,2026-03-15,2026-03-22,N
East West Bank,EWB-1000507,Lot Loan,GNMA,Borrower 507,"6504 Main St, Unit 8",Residential Property (1-4 Units),HE1,TX,3,TRNS,Jessica Taylor,2023-12-19,2053-12-11,2026-04-21,1576,Current,0,503349,0,637510,2023-11-19,624216,2026-01-09,688,80.64,2026-03-22,3259,181,SAV-49375,47836,2026-03-21,2026-03-20,N
East West Bank,EWB-1000508,ARM,FNMA,Borrower 508,"631 Main St, Unit 22",Commercial & Multi-Family (5+ Units),SP1,VA,2,LOSS,Linda Garcia,2023-05-26,2053-05-18,2026-04-21,3850,60-Day Delinquent,60,719468,0,1346179,2023-04-26,1301158,2025-05-20,811,55.29,2026-03-08,3850,279,SAV-69603,12228,2026-03-12,2026-03-21,NA
East West Bank,EWB-1000509,Foreign National,EWB-INT,Borrower 509,"4105 Main St, Unit 23",Residential Property (1-4 Units),LC1,NJ,1,LOSS,Emily Watson,2023-12-05,2053-11-27,2026-04-21,3467,Current,0,457483,0,789341,2023-11-05,953863,2025-07-08,718,47.96,2026-03-17,1029,264,SAV-38824,5203,2026-03-15,2026-03-18,Y
East West Bank,EWB-1000510,Specialty,FHLMC,Borrower 510,"3309 Main St, Unit 16",Commercial & Multi-Family (5+ Units),LC1,FL,2,PIF,Daniel Martin,2023-07-24,2053-07-16,2026-04-21,1454,90-Day Delinquent,120,610236,2650,1171318,2023-06-24,1358719,2024-10-10,607,44.91,2026-02-21,2965,97,SAV-40944,26605,2026-03-21,2026-03-17,NA
East West Bank,EWB-1000511,ARM,FHLMC,Borrower 511,"4403 Main St, Unit 15",Commercial & Multi-Family (5+ Units),SP1,GA,3,PIF,Donald Martinez,2022-08-23,2052-08-15,2026-04-21,2133,Current,0,219034,0,242601,2022-07-24,311806,2025-06-05,840,70.25,2026-03-16,2053,69,SAV-38650,34837,2026-03-16,2026-03-21,Y
East West Bank,EWB-1000512,Specialty,FHLMC,Borrower 512,"5469 Main St, Unit 20",Commercial & Multi-Family (5+ Units),LC1,GA,1,SII,Thomas Thompson,2023-05-25,2053-05-17,2026-04-21,3103,30-Day Delinquent,30,601475,0,1062735,2023-04-25,1338545,2024-09-19,717,44.93,2026-03-10,3397,469,SAV-66049,41681,2026-03-07,2026-03-22,Y
East West Bank,EWB-1000513,ARM,GNMA,Borrower 513,"7954 Main St, Unit 18",Residential Property (1-4 Units),CE1,CA,1,SII,Margaret Harris,2022-09-23,2052-09-15,2026-04-21,1345,Current,0,524223,0,753103,2022-08-24,889685,2025-02-18,799,58.92,2026-03-02,3806,104,SAV-63860,20987,2026-03-22,2026-03-20,NA
East West Bank,EWB-1000514,Conventional,EWB-INT,Borrower 514,"2914 Main St, Unit 46",Residential Property (1-4 Units),LC1,NY,4,FC,Emily Watson,2022-12-17,2052-12-09,2026-04-21,1228,90-Day Delinquent,90,673410,476,1259639,2022-11-17,1310911,2025-02-26,628,51.37,2026-03-20,3853,395,SAV-73591,36516,2026-03-10,2026-03-19,Y
East West Bank,EWB-1000515,Specialty,PRIV,Borrower 515,"2046 Main St, Unit 5",Commercial & Multi-Family (5+ Units),CE1,NJ,2,FC,Joseph White,2023-12-01,2053-11-23,2026-04-21,2329,Current,0,957124,0,1093693,2023-11-01,1298865,2024-06-14,748,73.69,2026-01-25,1803,145,SAV-11430,989,2026-03-08,2026-03-19,N
East West Bank,EWB-1000516,ARM,GNMA,Borrower 516,"5443 Main St, Unit 49",Commercial & Multi-Family (5+ Units),HE1,FL,2,LEG,James Miller,2022-01-07,2051-12-31,2026-04-21,2190,90-Day Delinquent,120,887385,4453,1129062,2021-12-08,1135469,2025-08-15,834,78.15,2026-03-21,3873,362,SAV-60300,36421,2026-03-14,2026-03-19,NA
East West Bank,EWB-1000517,Construction,EWB-INT,Borrower 517,"4899 Main St, Unit 38",Commercial & Multi-Family (5+ Units),HE1,MA,2,FC,Linda Garcia,2022-11-14,2052-11-06,2026-04-21,4654,90-Day Delinquent,120,853563,2091,1153171,2022-10-15,1411559,2024-05-10,837,60.47,2026-01-24,3196,18,SAV-90397,31250,2026-03-19,2026-03-20,Y
East West Bank,EWB-1000518,Conventional,PRIV,Borrower 518,"9425 Main St, Unit 28",Commercial & Multi-Family (5+ Units),CS1,VA,3,DIS,Robert Brown,2022-10-12,2052-10-04,2026-04-21,2424,30-Day Delinquent,30,171108,0,262990,2022-09-12,312084,2025-05-09,805,54.83,2026-03-09,2545,10,SAV-44203,30410,2026-03-10,2026-03-21,N
East West Bank,EWB-1000519,Foreign National,EWB-INT,Borrower 519,"4747 Main St, Unit 10",Residential Property (1-4 Units),CE1,CA,2,TRNS,Thomas Thompson,2023-07-24,2053-07-16,2026-04-21,1497,Current,0,110598,0,176806,2023-06-24,187642,2024-04-27,703,58.94,2026-01-27,1183,78,SAV-55971,33139,2026-03-21,2026-03-22,Y
East West Bank,EWB-1000520,Specialty,PRIV,Borrower 520,"1162 Main St, Unit 33",Residential Property (1-4 Units),LC1,IL,4,REO,Sandra Garcia,2023-08-28,2053-08-20,2026-04-21,1228,Current,0,339039,0,620641,2023-07-29,650327,2025-01-03,792,52.13,2026-02-06,3150,273,SAV-23530,3329,2026-03-07,2026-03-21,Y
East West Bank,EWB-1000521,Foreign National,PRIV,Borrower 521,"3461 Main St, Unit 37",Commercial & Multi-Family (5+ Units),SP1,TX,3,REO,Nancy Jackson,2022-09-06,2052-08-29,2026-04-21,3690,30-Day Delinquent,30,614883,0,1035421,2022-08-07,1144483,2025-10-31,701,53.73,2026-01-21,2390,34,SAV-90652,36508,2026-03-07,2026-03-20,Y
East West Bank,EWB-1000522,ARM,GNMA,Borrower 522,"1050 Main St, Unit 39",Residential Property (1-4 Units),SP1,TX,4,FC,Joseph White,2022-09-02,2052-08-25,2026-04-21,2035,60-Day Delinquent,60,250548,0,329830,2022-08-03,306777,2026-01-13,847,81.67,2026-02-09,2662,403,SAV-30621,43192,2026-03-16,2026-03-22,N
East West Bank,EWB-1000523,Specialty,PRIV,Borrower 523,"2624 Main St, Unit 47",Commercial & Multi-Family (5+ Units),LC1,FL,4,M,Emily Watson,2022-03-29,2052-03-21,2026-04-21,4236,90-Day Delinquent,90,822357,3292,1386497,2022-02-27,1388962,2025-09-25,728,59.21,2026-02-25,2759,206,SAV-37642,37712,2026-03-22,2026-03-18,N
East West Bank,EWB-1000524,Equity,EWB-INT,Borrower 524,"3371 Main St, Unit 45",Commercial & Multi-Family (5+ Units),HE1,WA,2,LOSS,Charles Wilson,2022-11-19,2052-11-11,2026-04-21,3768,90-Day Delinquent,120,595859,1560,772893,2022-10-20,817348,2025-02-26,817,72.9,2026-03-12,1991,15,SAV-39095,49429,2026-03-15,2026-03-19,NA
East West Bank,EWB-1000525,Specialty,GNMA,Borrower 525,"8500 Main St, Unit 3",Commercial & Multi-Family (5+ Units),CE1,CA,1,M,Thomas Thompson,2022-12-02,2052-11-24,2026-04-21,1448,60-Day Delinquent,60,713482,0,782543,2022-11-02,976891,2025-08-02,835,73.04,2026-02-24,1503,281,SAV-78930,23029,2026-03-10,2026-03-21,Y
East West Bank,EWB-1000526,Foreign National,FHLMC,Borrower 526,"815 Main St, Unit 43",Commercial & Multi-Family (5+ Units),CS1,FL,3,BK,Barbara Taylor,2023-01-20,2053-01-12,2026-04-21,2295,Current,0,1330140,0,1415898,2022-12-21,1340416,2025-03-13,601,99.23,2026-02-20,3644,350,SAV-93098,21741,2026-03-08,2026-03-19,N
East West Bank,EWB-1000527,Conventional,GNMA,Borrower 527,"542 Main St, Unit 39",Commercial & Multi-Family (5+ Units),HE1,TX,2,TRNS,Margaret Harris,2023-12-16,2053-12-08,2026-04-21,1708,Current,0,887735,0,1284033,2023-11-16,1563847,2024-08-29,792,56.77,2026-02-14,3595,440,SAV-43373,3273,2026-03-21,2026-03-22,N
East West Bank,EWB-1000528,ARM,FNMA,Borrower 528,"1573 Main St, Unit 20",Residential Property (1-4 Units),CR1,VA,3,LOSS,James Miller,2022-09-15,2052-09-07,2026-04-21,4402,30-Day Delinquent,30,1133348,0,1378337,2022-08-16,1499722,2024-06-24,667,75.57,2026-02-27,2422,122,SAV-44018,28996,2026-03-08,2026-03-21,N
East West Bank,EWB-1000529,Equity,EWB-INT,Borrower 529,"5476 Main St, Unit 44",Commercial & Multi-Family (5+ Units),SP1,NJ,3,DIS,Patricia Hernandez,2022-01-03,2051-12-27,2026-04-21,3302,Current,0,981686,0,1202330,2021-12-04,1370065,2024-12-27,768,71.65,2026-02-19,2272,386,SAV-45771,41251,2026-03-15,2026-03-19,N
East West Bank,EWB-1000530,Construction,PRIV,Borrower 530,"590 Main St, Unit 14",Residential Property (1-4 Units),LC1,VA,3,PIF,Richard Davis,2022-05-12,2052-05-04,2026-04-21,3419,30-Day Delinquent,30,427160,0,682994,2022-04-12,685739,2024-06-01,598,62.29,2026-03-03,3612,152,SAV-23215,31441,2026-03-08,2026-03-20,N
East West Bank,EWB-1000531,Construction,PRIV,Borrower 531,"9064 Main St, Unit 35",Residential Property (1-4 Units),HE1,CA,2,BK,Richard Davis,2023-11-23,2053-11-15,2026-04-21,3574,Current,0,115171,0,179725,2023-10-24,227330,2025-11-05,707,50.66,2026-03-18,1430,489,SAV-29868,49858,2026-03-17,2026-03-20,N
East West Bank,EWB-1000532,Lot Loan,FNMA,Borrower 532,"6818 Main St, Unit 39",Commercial & Multi-Family (5+ Units),SP1,GA,1,TRNS,Daniel Martin,2023-09-30,2053-09-22,2026-04-21,4273,Current,0,646845,0,1024631,2023-08-31,1047342,2025-02-24,765,61.76,2026-03-07,1509,352,SAV-18668,26305,2026-03-07,2026-03-21,N
East West Bank,EWB-1000533,Foreign National,FNMA,Borrower 533,"6840 Main St, Unit 16",Residential Property (1-4 Units),LC1,NY,1,SII,Lisa Williams,2023-12-19,2053-12-11,2026-04-21,4127,Current,0,428987,0,565872,2023-11-19,643721,2025-06-05,582,66.64,2026-02-12,2243,360,SAV-75918,36707,2026-03-17,2026-03-18,NA
East West Bank,EWB-1000534,Construction,PRIV,Borrower 534,"3582 Main St, Unit 26",Commercial & Multi-Family (5+ Units),CS1,VA,1,DIS,Michael Chen,2022-10-05,2052-09-27,2026-04-21,3925,90-Day Delinquent,150,294564,3659,394839,2022-09-05,449851,2024-10-26,803,65.48,2026-02-09,1067,213,SAV-63676,42873,2026-03-12,2026-03-17,Y
East West Bank,EWB-1000535,Lot Loan,FNMA,Borrower 535,"9752 Main St, Unit 21",Commercial & Multi-Family (5+ Units),CE1,FL,4,DIS,Sarah Jenkins,2023-11-09,2053-11-01,2026-04-21,4460,90-Day Delinquent,90,760138,2259,839556,2023-10-10,916038,2025-04-25,810,82.98,2026-03-14,2023,360,SAV-23183,8748,2026-03-14,2026-03-22,Y
East West Bank,EWB-1000536,Conventional,PRIV,Borrower 536,"3740 Main St, Unit 19",Commercial & Multi-Family (5+ Units),CE1,CA,2,FC,Richard Davis,2023-12-30,2053-12-22,2026-04-21,1337,30-Day Delinquent,30,795541,0,1266271,2023-11-30,1627805,2026-02-08,665,48.87,2026-03-16,1756,124,SAV-66897,6768,2026-03-10,2026-03-22,NA
East West Bank,EWB-1000537,Equity,FNMA,Borrower 537,"951 Main St, Unit 6",Residential Property (1-4 Units),SP1,GA,2,BK,John Smith,2022-11-06,2052-10-29,2026-04-21,2194,60-Day Delinquent,60,369147,0,666409,2022-10-07,828985,2024-08-04,591,44.53,2026-02-20,1612,269,SAV-29721,7789,2026-03-12,2026-03-17,NA
East West Bank,EWB-1000538,Construction,FNMA,Borrower 538,"4150 Main St, Unit 41",Residential Property (1-4 Units),CS1,IL,3,BK,Susan Martinez,2023-02-05,2053-01-28,2026-04-21,2825,30-Day Delinquent,30,181278,0,295016,2023-01-06,300976,2024-12-30,599,60.23,2026-01-26,3016,167,SAV-34054,5574,2026-03-11,2026-03-21,Y
East West Bank,EWB-1000539,Specialty,FHLMC,Borrower 539,"9721 Main St, Unit 24",Commercial & Multi-Family (5+ Units),CE1,FL,2,SII,Joseph White,2023-10-25,2053-10-17,2026-04-21,3315,Current,0,475452,0,895182,2023-09-25,896757,2025-12-13,790,53.02,2026-03-14,1981,119,SAV-51519,48183,2026-03-14,2026-03-22,Y
East West Bank,EWB-1000540,Lot Loan,EWB-INT,Borrower 540,"2724 Main St, Unit 6",Residential Property (1-4 Units),CE1,NJ,4,BK,John Smith,2022-10-19,2052-10-11,2026-04-21,4832,90-Day Delinquent,150,627426,633,774771,2022-09-19,881770,2024-06-08,711,71.16,2026-03-09,2997,8,SAV-61943,19796,2026-03-17,2026-03-22,NA
East West Bank,EWB-1000541,Foreign National,GNMA,Borrower 541,"6269 Main St, Unit 2",Residential Property (1-4 Units),CR1,GA,2,BK,Charles Wilson,2023-05-29,2053-05-21,2026-04-21,3574,30-Day Delinquent,30,818900,0,1313490,2023-04-29,1217112,2025-09-20,809,67.28,2026-03-08,3665,174,SAV-94748,3072,2026-03-18,2026-03-19,N
East West Bank,EWB-1000542,Conventional,FNMA,Borrower 542,"6680 Main St, Unit 32",Commercial & Multi-Family (5+ Units),CE1,FL,3,FC,Jessica Taylor,2022-09-24,2052-09-16,2026-04-21,4546,Current,0,1149827,0,1462743,2022-08-25,1777304,2025-01-12,781,64.7,2026-02-19,3756,11,SAV-66116,27985,2026-03-13,2026-03-17,N
East West Bank,EWB-1000543,Foreign National,FNMA,Borrower 543,"7114 Main St, Unit 1",Commercial & Multi-Family (5+ Units),CE1,IL,2,DIS,Karen Anderson,2022-10-16,2052-10-08,2026-04-21,3757,30-Day Delinquent,30,218470,0,254195,2022-09-16,318233,2025-08-17,636,68.65,2026-02-18,3074,190,SAV-81348,34722,2026-03-16,2026-03-18,NA
East West Bank,EWB-1000544,Construction,FNMA,Borrower 544,"6805 Main St, Unit 48",Residential Property (1-4 Units),CS1,NY,4,BK,Karen Anderson,2023-03-05,2053-02-25,2026-04-21,2044,Current,0,1339984,0,1488486,2023-02-03,1743672,2024-07-18,583,76.85,2026-01-26,1557,335,SAV-69711,15609,2026-03-14,2026-03-20,NA
East West Bank,EWB-1000545,Foreign National,FNMA,Borrower 545,"7548 Main St, Unit 32",Residential Property (1-4 Units),CR1,NY,1,TRNS,Michael Chen,2023-11-02,2053-10-25,2026-04-21,3075,Current,0,858853,0,1267698,2023-10-03,1582637,2025-03-22,765,54.27,2026-02-17,2419,30,SAV-42625,31713,2026-03-22,2026-03-19,N
East West Bank,EWB-1000546,ARM,GNMA,Borrower 546,"9776 Main St, Unit 2",Commercial & Multi-Family (5+ Units),CS1,IL,2,TRNS,Nancy Jackson,2023-02-17,2053-02-09,2026-04-21,1533,Current,0,582541,0,636275,2023-01-18,761403,2024-09-03,741,76.51,2026-01-30,2046,131,SAV-21937,13142,2026-03-08,2026-03-22,Y
East West Bank,EWB-1000547,Construction,PRIV,Borrower 547,"1644 Main St, Unit 19",Commercial & Multi-Family (5+ Units),SP1,NJ,3,DIS,Daniel Martin,2022-01-05,2051-12-29,2026-04-21,3791,Current,0,473279,0,557442,2021-12-06,565907,2025-09-15,767,83.63,2026-01-29,3423,48,SAV-21438,23735,2026-03-12,2026-03-17,Y
East West Bank,EWB-1000548,ARM,FHLMC,Borrower 548,"1936 Main St, Unit 33",Residential Property (1-4 Units),CS1,TX,4,LOSS,Michael Chen,2022-03-19,2052-03-11,2026-04-21,3025,60-Day Delinquent,60,809939,0,1046816,2022-02-17,1064895,2025-04-08,790,76.06,2026-03-22,2730,355,SAV-76030,2062,2026-03-11,2026-03-21,Y
East West Bank,EWB-1000549,Construction,EWB-INT,Borrower 549,"8441 Main St, Unit 15",Residential Property (1-4 Units),HE1,GA,3,LOSS,John Smith,2023-10-26,2053-10-18,2026-04-21,2014,Current,0,824440,0,1240668,2023-09-26,1312900,2025-12-07,609,62.8,2026-03-16,3899,53,SAV-27213,32860,2026-03-08,2026-03-19,Y
East West Bank,EWB-1000550,Lot Loan,GNMA,Borrower 550,"5925 Main St, Unit 39",Residential Property (1-4 Units),HE1,WA,4,REO,John Smith,2022-11-18,2052-11-10,2026-04-21,1954,90-Day Delinquent,150,203487,3777,325006,2022-10-19,414185,2026-02-02,752,49.13,2026-03-03,2823,122,SAV-44300,37260,2026-03-09,2026-03-17,NA
East West Bank,EWB-1000551,Conventional,FNMA,Borrower 551,"222 Main St, Unit 12",Residential Property (1-4 Units),HE1,WA,3,TRNS,Emily Watson,2023-02-12,2053-02-04,2026-04-21,2639,Current,0,332118,0,440998,2023-01-13,421195,2025-10-31,762,78.85,2026-02-27,3778,464,SAV-84329,4707,2026-03-19,2026-03-18,N
East West Bank,EWB-1000552,Specialty,GNMA,Borrower 552,"9511 Main St, Unit 12",Commercial & Multi-Family (5+ Units),SP1,NY,1,FC,Sarah Jenkins,2022-10-30,2052-10-22,2026-04-21,1783,Current,0,249215,0,331360,2022-09-30,391720,2024-11-02,830,63.62,2026-01-22,2037,285,SAV-19570,20777,2026-03-21,2026-03-19,NA
East West Bank,EWB-1000553,ARM,PRIV,Borrower 553,"2289 Main St, Unit 13",Commercial & Multi-Family (5+ Units),SP1,MA,3,DIS,Lisa Williams,2023-07-16,2053-07-08,2026-04-21,3520,60-Day Delinquent,60,1009788,0,1083688,2023-06-16,1383556,2025-10-26,740,72.98,2026-02-16,1043,137,SAV-35791,32775,2026-03-17,2026-03-18,N
East West Bank,EWB-1000554,Specialty,GNMA,Borrower 554,"652 Main St, Unit 43",Commercial & Multi-Family (5+ Units),HE1,MA,1,DIS,Margaret Harris,2022-08-23,2052-08-15,2026-04-21,2958,Current,0,271129,0,461955,2022-07-24,429589,2026-01-05,777,63.11,2026-02-01,3932,1,SAV-70229,22734,2026-03-12,2026-03-22,N
East West Bank,EWB-1000555,ARM,GNMA,Borrower 555,"3509 Main St, Unit 30",Commercial & Multi-Family (5+ Units),LC1,MA,4,SII,Robert Brown,2023-05-18,2053-05-10,2026-04-21,1510,90-Day Delinquent,150,626017,3331,791147,2023-04-18,804248,2025-12-08,716,77.84,2026-02-24,3989,93,SAV-59998,41537,2026-03-22,2026-03-21,NA
East West Bank,EWB-1000556,Foreign National,FNMA,Borrower 556,"9957 Main St, Unit 43",Commercial & Multi-Family (5+ Units),SP1,GA,1,SII,Margaret Harris,2023-12-18,2053-12-10,2026-04-21,2787,90-Day Delinquent,120,1298625,531,1436980,2023-11-18,1783475,2024-10-04,640,72.81,2026-01-29,3848,411,SAV-79996,12982,2026-03-17,2026-03-20,Y
East West Bank,EWB-1000557,ARM,FNMA,Borrower 557,"2410 Main St, Unit 34",Residential Property (1-4 Units),CE1,MA,1,SII,Susan Martinez,2022-09-14,2052-09-06,2026-04-21,2845,90-Day Delinquent,120,715484,2999,1245426,2022-08-15,1465649,2024-06-12,692,48.82,2026-02-04,1283,131,SAV-25424,28705,2026-03-21,2026-03-20,Y
East West Bank,EWB-1000558,Lot Loan,PRIV,Borrower 558,"6110 Main St, Unit 15",Commercial & Multi-Family (5+ Units),SP1,CA,4,REO,Michael Chen,2022-11-30,2052-11-22,2026-04-21,1055,Current,0,345289,0,378981,2022-10-31,439753,2024-08-07,824,78.52,2026-02-11,1528,305,SAV-74904,30019,2026-03-19,2026-03-17,N
East West Bank,EWB-1000559,Equity,FNMA,Borrower 559,"6245 Main St, Unit 10",Residential Property (1-4 Units),LC1,MA,1,SII,Emily Watson,2023-01-21,2053-01-13,2026-04-21,4031,Current,0,601616,0,961554,2022-12-22,968603,2025-04-25,648,62.11,2026-01-27,1021,167,SAV-87105,10090,2026-03-07,2026-03-18,Y
East West Bank,EWB-1000560,Equity,FHLMC,Borrower 560,"4094 Main St, Unit 45",Commercial & Multi-Family (5+ Units),SP1,IL,2,DIS,John Smith,2023-03-16,2053-03-08,2026-04-21,3581,60-Day Delinquent,60,292013,0,434580,2023-02-14,437848,2026-01-03,653,66.69,2026-03-20,2185,238,SAV-12229,15635,2026-03-08,2026-03-21,N
